이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
만계선종,kakaopage,,아이리더,무협,시즌 휴재,목,443.4만,8.6,624,5,2일,"노력,무림,복수,생존,성장","16년 전 성운은 약한 몸을 가지고 태어난다성운의 조부는 약한 아이가 걱정되어 천원신종의 제결 사부에게 아이를 입양 보낸다제결 사부는 성운을 친자식처럼 아끼며 극진히 보살핀다한 편 속세에 남아있던 성운의 가족은 목야 전투로 인해 모두 몰살당하고 만다성운은 자신의 가족을 죽인 원수들을 향해 큰 분노를 갖게 되고, 그 분노는 복수라는 씨앗을 키우게 된다평소 사부 제결에게 모든 것을 의지했던 성운은 어느 날 갑자기 제결으로부터 천원 신종의 자리를 물려받으라는 제안을 받는다그 제안을 받아들인 성운은 홀로 천원 신종을 다스리게 되는데……과연 성운은 스승님 없이도 천원 신종을 잘 이끌 수 있을까?",https://page.kakao.com/content/51952649
잠만 자도 랭커,kakaopage,천진희,천진희,판타지,연재중,목,"1,285.1만",9.8,116,3,3시간,"게임,먼치킨,시스템,영웅/신화,노력,성장,신,회사원,플레이어","“언니, 30초쯤 쉰 거 맞지? 내 착각 아니지?""“……응”15시간 사냥한 뒤 잠깐 쉬자고 하더니 30초 만에 다시 일어나 사냥을 시작한 현성사실 현성에게는 특별한 스킬이 있다[타나노스의 기면증 스킬이 발동됩니다][강제로 수면 상태에 빠지게 됩니다]한숨 자고 일어났더니 아이템을 얻는다?신(GOD) 등급 직업, 타나노스의 후예 멈추지 않는 현성의 호쾌한 행보를 주목하라",https://page.kakao.com/content/58909608
그래서 나는 폐태자와 결혼했다,kakaopage,산하,이음,로판,연재중,목,574.6만,9.9,58,3,1일,"로맨스판타지,권선징악,계약관계,쌍방삽질,사이다녀,걸크러쉬,다정남,존댓말남,첫사랑,회귀물,복수물,짝사랑남,상처녀","어느 날, 내 과오를 바로잡을 기회가 생겼다연인에게 배신 당하고 아이까지 빼앗긴 내게 두 번째 기회가 주어진 것‘모든 걸 갚아주겠어’나를 기만한 연인과 그의 정부를 나락에 빠뜨리고내게 이용만 당했던 착한 남편은 꽃길만 걷게 할 거야그런데 언제부터일까모든 일이 꼬이기 시작한 것은“부디, 사랑하는 분과 행복하시길”“부인께서는 제가 다른 여인과 만나기를 바란다는 겁니까?”은혜 갚는 까치가 되어 재산도 불려주고이혼까지 해주겠다는데 화를 내는 남편과“여왕님, 좋아한다는 헛소리 안 할 테니까 나한테서 도망만 가지 마”제 흥미로만 움직일 땐 언제고 절절 매달리는 제국 제일의 암살자까지…대체 나한테 왜들 이러는 거야?",https://page.kakao.com/content/61486496
제가 어딘가 빙의를 한 것 같은데요,kakaopage,GB,공효,로판,시즌 휴재,목,605.1만,10.0,40,3,1일,"로맨스판타지,빙의물,능글남,다정남,능력남,유혹남,엉뚱발랄녀,능력녀,순진녀,털털녀,달달물,로맨틱코미디,개그물,힐링물,운명","각박한 현실도 거지 같은데, 그 끝이 과로사라니이럴 거면 연애나 잔뜩 할걸 후회하기도 잠시,어라 거울 속 당신은 누구신가요?조금 당황스럽긴 하지만 이 몸 엄청 예쁘잖아로맨스 판타지 소설에 빙의된 것 같은데이왕 이렇게 된 거 탱자 탱자 놀며 로맨스나 즐겨볼까?'그런데 어느 책에 빙의한 거지?'북부 대공과 소꿉친구가 나오는 작품만 수십 권,흑발 남주와 금발 여주는 셀 수 없을 만큼 읽었는데,아~ 모르겠다 일단 남캐들부터 공략해 보자""저는 이미 결혼이 약속된 여성이 있습니다""""나 서부 경비대에 자원했어 몇 년간 만날 수 없을 거야""뭐야, 이거 로판 맞아? 왜 다 도망가는 거야?애초에 나 여주에 빙의한 건 맞니?대체 이게 무슨 소설이냐고<제가 어딘가 빙의를 한 것 같은데요>",https://page.kakao.com/content/62698929
"그 남자는 제 친오빠인데요, 공작님",kakaopage,CC,조이,로판,완결,완결,957.1만,9.9,80,3,1일,"로맨스판타지,오해물,착각물,빙의물,수인물,달달물,힐링물,첫사랑,소유욕/독점욕,능력남,짝사랑남,능력녀,자상녀,다정남,다정녀","[매주 목요일 연재]판타지소설 속 남주의 여동생 '아스텔'에 빙의했다 가문이 멸문 당하고 결국 자신과 오빠조차도 비참한 죽음을 당하고야 마는데…하지만 난 소설 내용을 알고 있다그렇다면 내 손으로 새로운 운명을 직접 그려나갈 수 있지 않을까비록 결말까지 진짜 흑막의 정체는 밝혀지지 않았지만 흑막의 첩자들이 흘러 들어갔다던 아나이스 공작성 그곳에 단서가 있을 거야 무슨 일이 있어도 그곳으로 침입해오빠와 나의 결말을 바꾸는 거야 1단계, 아나이스 공작의 생명의 은인이 되어 공작성에 침입한다 → 성공 2단계, 공작성에 들어가 공작의 반려 각인자가 된다? → 예측 불허의 상황 21단계, 불안한 각인을 위해 공작과 스킨십을 해야 한다? → 예측 불허의 상황222 → 두근두근설렘?  공작성에서 정보를 캐내고 흑막도 찾아야 하는데,최종 흑막일지도 모르는 아나이스 공작님한테 이렇게 두근거리면 되겠어? 심지어 공작님은 오빠를 나의 연인(?)으로 오해하는데? 아스텔의 최종 흑막을 찾기 위한 오해투성이 사랑스러운 복수극이 시작된다",https://page.kakao.com/content/60549099
꽃잎을 여미다,kakaopage,이예린,나에,로맨스,연재중,목,316.7만,9.8,60,3,3시간,"동양풍,오해물,암투물,운명,첫사랑,소유욕/독점욕,다정남,순정남,능력남,집착남,능력녀,순진녀,순정녀,신분차이,달달물","황금색 눈빛, 어떤 상처도 치유할 수 있는무소불위의 힘을 지닌 존재향족이 바로 아리, 본인이었다인간 사냥꾼들에게 노려지던 위기의 순간…과거 마음을 나누었던 남자,도겸이 황태제가 되어 돌아왔다“내가 그대를 더 넓은 세상으로 데려가 줄 거야”각종 권력의 암투로 바람 잘 날 없는 궁중 생활,자신의 힘을 노리는 사람들의지할 곳은 도겸뿐 아리는 과연 황실에서 무사히 살아남을 수 있을까?“나를 사랑해 줘, 아리 이 단월국을 통째로 그대의 발아래 꿇려 드릴 터이니”",https://page.kakao.com/content/62051287
만렙 닥터 리턴즈,kakaopage,누렁,메이 스튜디오,드라마,시즌 휴재,목,267.3만,9.9,50,3,1일,"현대물,힐링물,권선징악,메디컬,복수,회귀/타임슬립,전문직,라이벌,의사,이야기중심,잔잔한,노블코믹,음모,남주중심,고퀄리티","지잡대 출신으로 살아남기 위해 의사로서의 자존심을 버리고 짖으라면 짖고, 기라면 기었다그 결과가 토사구팽이라고?좌절과 분노가 두 눈 가득 비릿하게 차오른 그 순간교통사고로 죽음을 맞이하게 되지만, 눈을 떴을 땐 다시 인턴이 되어 있었다…겉모습은 20대 초보 의사, 알맹이는 흉부외과 탑티어 써전 만렙 닥터 김윤찬의 복수극과 힐링 드라마가 시작된다'이제부터 모든 상황은 내가 집도한다'",https://page.kakao.com/content/62338172
목표는 자수성가입니다,kakaopage,써머폴,"소라, 민하",로판,시즌 휴재,토,552.6만,9.9,80,4,3일,"로맨스판타지,수인물,다정남,순정남,능력남,대형견남,능력녀,외유내강,걸크러쉬,계략녀,재벌녀,계약관계,정략결혼,달달물,로맨틱코미디","시한부로 얼마 남지 않은 삶을 병원에서 무료하게 보내던 때,그 게임을 만났다 —「왕관을 쓰려는 자」여차저차 조연 캐릭터를 희생시켜 가며 하드 모드를 깼는데눈떠 보니 내가 그 조연 캐릭터에 빙의했네?아직 죽음까지 시간이 남아 있으니 지금부터 생존을 위해 내가 할 일은…일단 결혼이다동부 대공 시어드릭 에첼과 결혼해서 수도에서 벗어난 후,나만 알고 있는 특별한 스킬로 돈을 잔뜩 벌어서 튀는 거지그런데 동부 대공이란 이 남자가 생각보다 협조적인계약 남편인 데다 꽤 괜찮은 사람이었다목숨 부지를 위해 시작한 결혼 생활,그 끝은 돈길 찬란한 자수성가가 될 수 있을까",https://page.kakao.com/content/59355365
나를 죽일 남주를 길들여버렸다,kakaopage,스튜디오 시그마,스튜디오 시그마,로판,시즌 휴재,목,2.6만,8.2,51,3,,"로맨스판타지,성장물,회귀물,츤데레남,능력녀,금단의관계","남주를 괴롭히다 사형대에 오르게 된 악역 '라티아'는 죽음 앞에서 3년 전으로 회귀한다 그녀는 다시 목숨을 잃지 않기 위해 남주와의 악연을 청산하기로 결심하고, 전생과 회귀 전 삶에서 쌓아온 지식으로 올바른 자리를 만들어 간다 그런데, 남주가 자꾸만 곁을 맴도는데…",https://page.kakao.com/content/61575593
여주의 첫사랑을 빼앗아 버렸다,kakaopage,"은민, 람지","은민, 람지",로판,시즌 휴재,토,530.7만,9.9,45,3,1일,"로맨스판타지,복수물,다정남,왕족/귀족,능력녀,걸크러쉬,권선징악,달달물,계약관계","역하렘 게임 속 엑스트라에 빙의했다여주인공을 빛내 주는 적당히 예쁘장한 친구 ‘걔’그게 바로 나였다게임은 무사히 엔딩에 도달했고,여주인공은 남주들 중 하나인 북부 대공과 결혼했다이제 여주에게 얽힐 필요없이 나의 삶을 살아가면 되는 거야그렇게 나는 가문을 위해 선택받지 못한 남주들 중 하나와 약혼을 하고그저 그런 평범한 삶을 살 수 있을 줄 알았다 “역시 너는 티티를 대신할 수 없어” 약혼자가 유부녀가 된 여주인공의 정부가 되고 싶다는 선언을 하기 전까지는뭔가 이상해내 주변에 남자들은 왜 다 이런 거야? 멀쩡한 남자들은 대부분 남주 후보였고,모두 여주의 어장 속에 들어가기를 자처하는데유일하게 여주를 거절한 그녀의 첫사랑“폐하, 저랑 연애하실래요?” 복수심 반, 호기심 반으로 그에게 청혼했다 “재밌는 제안이군”“대답은요?”“좋아, 하지 그 연애” 항상 빼앗기기만 하던 삶은 이제 끝이야고장나버린 세계와 타티아나를 향한 복수극이 시작된다",https://page.kakao.com/content/62449232
권왕무적,kakaopage,초우,김대진,무협,시즌 휴재,금,"3,413.3만",9.0,391,22,2일,"정통,무림,전쟁,곤륜,무당,정파,성장,천재,도사,마교","빈손으로 세상에 나와 단 두 주먹으로 무림을 평정한 권왕 진정한 남자는 사랑마저도 호쾌하다 말은 느리고 주먹은 빠르게 주먹질 아홉 번이면 이기지 못할 자가 없는 권왕, 이제 그에 대한 신화와 전설이 시작된다매주 금요일 업데이트",https://page.kakao.com/content/48475105
나의 악당들,kakaopage,넬피,조은호,판타지,완결,완결,53.4만,9.4,45,3,1일,"게임,정통,레이드,전쟁,생존,깽판,빙의,영웅/신화,노력,영지,성장,고인물,검사,초능력,용병","서른 살의 평범한 직장인인 내가 청춘을 바친 게임, '다크월드'서버를 통틀어서도 유명한 PK 플레이어였던 내가…,'이거, 이거 뭐냐고 X발…'눈을 떠보니 현실이 다크월드가 되어있었다쏟아지는 비, 뜨겁게 흘러내리는 피, 시리도록 차가운 칼날죽음이 목전까지 들어온 순간, 눈 앞에 익숙한 모습이 내려앉았다",https://page.kakao.com/content/62136750
염라를 위한 안내,kakaopage,타쏘,정,드라마,시즌 휴재,목,51.6만,9.8,39,3,1일,"신화물,판타지물,게임판타지,차원이동,초능력,친구,학생,스릴 넘치는,이야기중심","눈 떠보니 저승, 너 염라 후보가 되라평범한 취준생이었던 지화 이제부터는 염라가(?) 되기 위한 여정을 떠나야 한다",https://page.kakao.com/content/62743814
흑화하는 서브 남주의 아내랍니다,kakaopage,핀쿠,메로,로판,시즌 휴재,목,248.2만,9.8,46,3,1일,"로맨스판타지,성장물,빙의물,짝사랑,첫사랑,다정남,순정남,존댓말남,상처남,능력남,능력녀,걸크러쉬,사이다녀,다정녀,힐링물","루시안 카르디엔전쟁 영웅이자 성녀 에스텔을 사랑한 나머지결국 흑화해 버리고 마는 붉은 눈의 서브 남주그리고 나는 그에게 끔살당하는 약혼녀 페르니아에 빙의했다핏빛 엔딩을 막기 위해 그에게 춤을 가르쳐 주고,물개 박수를 쳐주고, 잇몸 만개 미소를 지어줬으며,여주인공 성녀 에스텔과 이어지도록 도와줬건만""페르니아 영애, 더 이상 나를 자극하지 마십시오""왜 아직도 나를 그런 눈빛으로 바라보는 건데요?",https://page.kakao.com/content/62102395
벼락승진,kakaopage,이모세,이모세,드라마,완결,완결,10.7만,9.9,57,6,3시간,"현대물,영혼체인지/빙의,성장물,신분차이,라이벌,회사원,이야기중심",야근과 주말 출근이 일상인 광고대행사 [페퍼기획]두 달간 하루도 쉬지 못한 제작 3팀은오늘도 고군분투 중이다워라밸이 최우선인 MZ세대 박대희 사원회사와 일이 최우선인 기성세대 전규영 팀장서로가 너무 달라 서로를 이해할 수 없었던 두 사람이서로의 몸이 바뀌게 되면서 서로를 연기하기 시작한다,https://page.kakao.com/content/61171107
8백년 전으로 회귀,kakaopage,,,판타지,완결,완결,55만,7.5,95,10,1일,차원이동,"팔백 년 전, 명제의 아들 장약천이 약혼녀인 자윤 공주에게 죽임을 당하면서 천교가 멸망하게 된다팔백 년 후, 살아난 장약선은 자신을 죽인 약혼녀가 곤륜계를 통일하고 제 1중앙 제국을 건국해 여제로 불린다는 걸 알게 된다 장약선은 복수에 풀타오르는데 ""이제 너를 지옥으로 보내주마 자윤 여제＂",https://page.kakao.com/content/61261476
시한부 대공자비의 꽃길 라이프,kakaopage,KD,송둘째,로판,시즌 휴재,목,528.6만,9.7,63,3,1일,"로맨스판타지,시월드,시한부,성장물,회귀물,다정남,능력녀,정략결혼,권선징악,달달물,상처녀,능력남","그 결혼, 제가 하겠습니다시한부였던 그녀의 행복한 신혼 라이프저주를 대신 받기 위해 태어난 연약한 이사벨라, 죽는 순간만큼은 자유롭고 싶어 일생의 첫 선택이자 마지막 선택으로 결혼을 말한다 그런데 미움 받을 각오로 찾아간 시댁은 그녀에게 무한한 애정을 쏟고, 예비 남편까지 그녀에게 사랑스럽게 집착하는데… 시한부였던 이사벨라의 꽃길 라이프가 펼쳐진다",https://page.kakao.com/content/59274036
나를 사랑하지 않는 그대에게,kakaopage,연서,빠다,로판,완결,완결,136.5만,9.9,130,5,3일,"로맨스판타지,가상시대물,짝사랑,운명,초월적존재,나쁜남자,유혹남,능력남,자상녀,다정녀,순진녀","#초월적존재 #계략남 #후회남 #순진녀 #짝사랑녀 #갑을관계  ""미하엘 넌 내게 신이었어""마을 사람들에 의해 괴수의 제물로 바쳐진 소녀 로즈 몰리그녀는 죽음 직전 떠돌이 용사 미하엘에게 목숨을 건진다미하엘은 로즈의 특별한 힘을 눈치채고 그녀를 거둬들이고로즈의 세계는 미하엘을 중심으로 돌아가게 된다 미하엘은 그녀가 상처 입는 것을 알면서도 그녀를 도구로만 이용한다""혼자서 가버리는 건 이제 안 돼, 로즈고통이든 안식이든, 뭐든 나와 함께해""처절하게 후회하게 될 줄은 꿈에도 모른 채 *원작 : 한설온 [웹소설]나를 사랑하지 않는 그대에게",https://page.kakao.com/content/57794745
팬.티.용.사,kakaopage,허슘,허슘,판타지,시즌 휴재,목,16.3만,9.7,42,43,,"깽판,천재,먼치킨,성장,조력자,마법사,용사,영웅/신화,퓨전,생존,이종족,만능,착각,고인물,마왕","용사 오타쿠 파슬리,여자에게 9번이나 차인 뒤 스스로 용사가 되고자 한다어렵게 갑옷 상의는 구했지만…하의는 없… 어쩔? 위만 멋있으면 그만이지파슬리의 갑옷에 속은 피해자 속출 중마왕을 무찌르고 용사가 되기 위해 떠나는파슬리와 동료들의 모험이 지금 시작된다",https://page.kakao.com/content/61222187
만렙 공녀는 오늘도 무료하다,kakaopage,,가을,로판,완결,완결,"1,547.9만",9.9,70,106,1일,"로맨스판타지,먼치킨,환생물,가족물,첫사랑,초월적존재,능글남,다정남,소유욕/독점욕,왕족/귀족,직진남,능력녀,무심녀,걸크러쉬,사제지간","전생에 무려 황제까지 찍었던 단테 레나투스500년 후, 공작가의 막내딸로 환생하다?원하지 않던 2회차 인생, 전생에서 누릴 거 다 누렸고,해 볼 거 다 해봤으니 현생에서 뭘 해도 귀찮고 무료할 뿐이다기왕 태어난 거 후학 양성이나 해 볼까 하는데,……제자들이 날 너무 사랑한다내 교육자적 재능이 이렇게 훌륭했던가?“스승님을 위해서라면, 이 세계도 멸망시킬 수 있어”황자 카이사르의 재능을 알아 봤을 뿐인데왜 그런 방향으로 튀는 거야?생의 후회도 미련도 없는 만렙 공녀님의인생 2회차 후학 양성기―**************************[표지 및 타이틀 로고 디자인] 조정원**************************웹툰 [만렙 공녀는 오늘도 무료하다]는 매주 목요일, 주1회 연재됩니다",https://page.kakao.com/content/58873967
"폐하, 이제 그만",kakaopage,톨밭,톨밭,로판,시즌 휴재,목,158.7만,9.9,17,18,,"로맨스판타지,궁정로맨스,암투물,중세물,여주판타지,까칠남,왕족/귀족,능력녀,소유욕/독점욕,나쁜남자,엉뚱발랄녀,계약관계,갑을관계,드라마,애잔물","발데크 제국의 이교도 노예 ‘샤란’ 그녀는 매일 밤 꿈 속에서 잠들지 못한 채 배회하는 한 남자의 환영을 본다 환영의 정체는 바로 발데크 제국의 황제인 ‘율리언’ 그는 누군가의 흑주술로 인해 심각한 불면증을 앓고 있었고, 샤란은 율리언의 불면증을 치료하는 대가로 노예에서 벗어나 자유의 몸이 되고자 한다 하지만 율리언은 비천한 이교도 노예이건, 사랑하는 사람이 있건 상관없이 자신을 구원할 유일한 존재인 샤란을 놓지 않고자 하는데… 잠들지 못하는 황제 ‘율리언’과그를 잠들게 할 수 있는 유일한 존재, 이교도 노예이자 황제의 주술사인 ‘샤란’이 펼치는 로맨스판타지",https://page.kakao.com/content/62484541
밀리어네어 레이디,kakaopage,둥그라미,뒹가,로판,시즌 휴재,수,122.6만,9.9,39,3,1일,"로맨스판타지,성장물,첫사랑,다정남,재벌남,능력남,존댓말남,능력녀,도도녀,걸크러쉬,뇌섹녀","“당신께 더 어떻게 보답을 해야 할지……”“괜찮아요 전 더 이상 바라는 게 없거든요 인생은 말이에요, 자기가 번 돈으로, 자기의 힘으로 살아가야 하는 거예요”돈에 팔려가는 결혼이 끔찍해서 공작이 내민 마지막 기회를 필사적으로 잡긴 잡았는데…… 이억 골드의 상속 예정자라고?공작님 어디 아프세요? 제가 아는 분 중에 가장 미치셨어요당신은 나의 소중한 인재니까요 당신을 위해 이 정도쯤이야돈놀이의 천재 도린 브래드쇼의 역대급 금융 판타지“제가 당신한테 정말 반했을 수도 있잖습니까?”“전 이해관계가 확실한 걸 좋아해요 왜 저한테 이렇게까지 하시는지, 명확하게 밝히지 않으면 저는 공작님을 믿을 수 없어요”“원래 받을 사람이 없었던 재단입니다 그걸 미끼로 끌어들일 수 있는 사람이 있다면 그렇게 해야죠”“그렇지만……”“전 후회하고 있습니다 당신을 처음 본 순간 바로 알아차리지 못하고 시간을 낭비한 것을 당신을 손에 넣었으니 만족합니다”",https://page.kakao.com/content/62494680
